"Country","Response_measure","date_start","date_end"
"Austria","ClosDaycare",2020-03-16,2020-05-04
"Austria","ClosHigh",2020-03-16,NA
"Austria","ClosPrim",2020-03-16,2020-05-18
"Austria","ClosPubAny",2020-03-16,2020-04-13
"Austria","ClosPubAnyPartial",2020-04-14,NA
"Austria","ClosSec",2020-03-16,2020-05-03
"Austria","ClosSecPartial",2020-05-04,2020-06-03
"Austria","MasksMandatory",2020-04-06,2020-04-30
"Austria","MasksMandatoryPartial",2020-05-01,NA
"Austria","MasksVoluntaryPartial",2020-03-31,2020-04-05
"Austria","MassGatherAll",2020-03-10,2020-07-31
"Austria","StayHomeGen",2020-03-10,2020-03-15
"Austria","StayHomeOrder",2020-03-16,2020-04-30
"Austria","TeleworkingClosures",2020-03-10,NA
"Belgium","ClosDaycare",2020-05-01,2020-06-02
"Belgium","ClosHigh",2020-03-13,NA
"Belgium","ClosPrim",2020-03-13,2020-05-17
"Belgium","ClosPrimPartial",2020-05-18,2020-06-08
"Belgium","ClosPubAny",2020-03-13,2020-05-03
"Belgium","ClosPubAnyPartial",2020-05-04,NA
"Belgium","ClosSec",2020-03-13,2020-05-17
"Belgium","ClosSecPartial",2020-05-18,2020-08-28
"Belgium","MasksMandatory",2020-05-04,NA
"Belgium","MassGatherAll",2020-03-10,NA
"Belgium","StayHomeGenPartial",2020-05-11,NA
"Belgium","StayHomeOrder",2020-03-18,2020-05-10
"Belgium","TeleworkingClosures",2020-03-10,2020-06-07
"Belgium","TeleworkingClosuresPartial",2020-06-08,NA
"Bulgaria","ClosDaycare",2020-03-13,2020-05-21
"Bulgaria","ClosDaycarePartial",2020-05-22,2020-06-14
"Bulgaria","ClosHigh",2020-03-13,2020-05-31
"Bulgaria","ClosHighPartial",2020-06-01,NA
"Bulgaria","ClosPrim",2020-03-13,NA
"Bulgaria","ClosPubAny",2020-03-13,2020-05-17
"Bulgaria","ClosPubAnyPartial",2020-05-18,NA
"Bulgaria","ClosSec",2020-03-13,NA
"Bulgaria","MasksMandatory",2020-03-30,2020-03-31
"Bulgaria","MasksMandatory",2020-04-12,2020-06-14
"Bulgaria","MasksMandatoryPartial",2020-06-15,NA
"Bulgaria","MassGather50Partial",2020-03-13,2020-06-30
"Bulgaria","MassGatherAllPartial",2020-03-13,2020-06-30
"Bulgaria","StayHomeRiskG",2020-03-17,NA
"Bulgaria","TeleworkingClosures",2020-03-13,NA
"Croatia","ClosDaycare",2020-03-16,2020-05-11
"Croatia","ClosHigh",2020-03-16,NA
"Croatia","ClosPrim",2020-03-16,2020-05-10
"Croatia","ClosPrimPartial",2020-05-11,2020-05-25
"Croatia","ClosPubAny",2020-03-19,2020-05-28
"Croatia","ClosPubAnyPartial",2020-08-14,NA
"Croatia","ClosSec",2020-03-16,NA
"Croatia","MasksMandatory",2020-02-28,2020-06-24
"Croatia","MasksMandatoryPartial",2020-06-25,NA
"Croatia","MassGatherAll",2020-03-19,NA
"Croatia","StayHomeGen",2020-03-17,2020-05-05
"Croatia","StayHomeRiskG",2020-03-03,NA
"Croatia","TeleworkingClosures",2020-03-19,2020-05-27
"Cyprus","ClosDaycare",2020-03-10,2020-06-09
"Cyprus","ClosHigh",2020-03-10,2020-05-11
"Cyprus","ClosPrim",2020-03-10,2020-05-21
"Cyprus","ClosPubAny",2020-03-13,2020-05-03
"Cyprus","ClosPubAnyPartial",2020-05-04,2020-06-29
"Cyprus","ClosSec",2020-03-10,2020-05-10
"Cyprus","ClosSecPartial",2020-05-11,2020-05-21
"Cyprus","MasksMandatory",2020-05-04,NA
"Cyprus","MassGatherAll",2020-03-10,NA
"Cyprus","StayHomeOrder",2020-03-24,2020-05-03
"Cyprus","StayHomeOrderPartial",2020-05-04,2020-05-21
"Cyprus","TeleworkingClosures",2020-03-16,2020-04-14
"Cyprus","TeleworkingClosuresPartial",2020-04-15,2020-06-29
"Czechia","ClosDaycare",2020-03-11,2020-05-11
"Czechia","ClosHigh",2020-03-11,2020-05-10
"Czechia","ClosHighPartial",2020-05-11,2020-08-31
"Czechia","ClosPrim",2020-03-11,2020-06-07
"Czechia","ClosPrimPartial",2020-06-08,2020-08-31
"Czechia","ClosPubAnyPartial",2020-03-10,NA
"Czechia","ClosSec",2020-03-11,2020-06-07
"Czechia","ClosSecPartial",2020-06-08,2020-08-31
"Czechia","MasksMandatory",2020-03-19,2020-05-10
"Czechia","MasksMandatory",2020-07-25,NA
"Czechia","MasksMandatoryPartial",2020-05-11,2020-07-03
"Czechia","MasksVoluntary",2020-07-04,2020-07-24
"Czechia","MassGatherAll",2020-03-04,2020-05-11
"Czechia","MassGatherAll",2020-09-01,NA
"Czechia","StayHomeOrder",2020-03-16,2020-04-24
"Denmark","ClosDaycare",2020-03-16,2020-04-15
"Denmark","ClosHigh",2020-03-16,2020-07-31
"Denmark","ClosPrim",2020-03-16,2020-04-15
"Denmark","ClosPubAny",2020-03-18,2020-04-20
"Denmark","ClosPubAnyPartial",2020-04-21,NA
"Denmark","ClosSec",2020-03-16,2020-05-18
"Denmark","MasksMandatory",2020-08-22,NA
"Denmark","MasksVoluntaryPartial",2020-07-09,2020-08-21
"Denmark","MassGatherAll",2020-03-14,2020-06-14
"Denmark","MassGatherAllPartial",2020-06-15,NA
"Denmark","StayHomeRiskG",2020-03-14,NA
"Denmark","TeleworkingClosures",2020-03-13,2020-06-14
"Denmark","TeleworkingClosuresPartial",2020-06-15,NA
"Estonia","ClosHigh",2020-03-16,2020-05-17
"Estonia","ClosPrim",2020-03-16,2020-05-17
"Estonia","ClosPubAny",2020-03-12,2020-05-16
"Estonia","ClosPubAnyPartial",2020-05-17,2020-07-01
"Estonia","ClosSec",2020-03-16,2020-05-17
"Estonia","MasksVoluntary",2020-03-12,2020-05-16
"Estonia","MasksVoluntaryPartial",2020-05-17,2020-07-31
"Estonia","MassGatherAll",2020-03-12,2020-05-31
"Estonia","MassGatherAll",2020-08-01,2020-08-18
"Estonia","MassGatherAllPartial",2020-06-01,2020-07-31
"Estonia","StayHomeGen",2020-03-12,2020-05-17
"Estonia","TeleworkingClosures",2020-03-16,NA
"Finland","ClosHigh",2020-03-18,2020-08-03
"Finland","ClosHighPartial",2020-08-04,NA
"Finland","ClosPrim",2020-03-18,2020-05-14
"Finland","ClosPubAny",2020-03-18,2020-05-31
"Finland","ClosPubAnyPartial",2020-06-01,NA
"Finland","ClosSec",2020-03-18,2020-08-03
"Finland","ClosSecPartial",2020-08-04,NA
"Finland","MasksVoluntaryPartial",2020-08-13,NA
"Finland","MassGather50Partial",2020-07-01,2020-07-31
"Finland","MassGatherAll",2020-03-12,2020-06-30
"Finland","MassGatherAllPartial",2020-07-01,NA
"Finland","StayHomeRiskG",2020-03-16,2020-06-22
"Finland","StayHomeRiskGPartial",2020-06-23,NA
"Finland","TeleworkingClosures",2020-03-18,2020-08-01
"Finland","TeleworkingClosuresPartial",2020-08-13,NA
"France","ClosDaycare",2020-03-16,2020-06-01
"France","ClosDaycarePartial",2020-06-02,2020-06-22
"France","ClosHighPartial",2020-03-16,2020-06-22
"France","ClosPrimPartial",2020-03-16,2020-06-22
"France","ClosPubAny",2020-03-16,2020-05-10
